id,title,description,price,availability,condition,brand,image_link,link,google_product_category
1834,KIT TECLADO E MOUSE LOGITECH WIRELESS MK345,Kit teclado e mouse MK345,"268,00 BRL",in stock,new,Logitech,kit-logitech-mk345.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
401921,KIT TECLADO E MOUSE LOGITECH WIRELESS MK540,Kit teclado e mouse MK540,"390,00 BRL",in stock,new,Logitech,kit-logitech-mk540.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1138,TECLADO GAMER MEC BALLISTIC CINETIC DAZZ,Teclado mecânico Ballistic Cinetic,"165,00 BRL",in stock,new,Dazz,teclado-dazz-ballistic-cinetic.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402155,TECLADO MULTILASER USB MULTIMÍDIA TC193,Teclado USB multimídia TC193,"25,00 BRL",in stock,new,Multilaser,teclado-multilaser-tc193.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1086,KIT TECLADO E MOUSE OEX CAMBO OFFICE TM.406,Kit teclado e mouse TM.406,"125,00 BRL",in stock,new,OEX,kit-oex-tm406.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1841,TECLADO LOGITECH GAMER G413SE,Teclado gamer G413SE,"585,00 BRL",in stock,new,Logitech,teclado-logitech-g413se.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402216,MINI TECLADO MULTILASER MEC GK-510,Mini teclado mecânico GK-510,"195,00 BRL",in stock,new,Multilaser,teclado-multilaser-gk510.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1243,MINI TECLADO TOUCHPAD WIRELESS KEYBOARD KNUP VERDE,Mini teclado touchpad wireless verde,"45,00 BRL",in stock,new,Knup,mini-teclado-knup-verde.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
2133,KIT TECLADO E MOUSE WIRELESS FATSC40 FEASSO 495,Kit teclado e mouse FATSC40,"250,00 BRL",in stock,new,Feasso,kit-feasso-fatsc40.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1146,TECLADO USB PRETO BPC-8236 BRAZIL,Teclado USB preto BPC-8236,"25,00 BRL",in stock,new,BPC,teclado-bpc-8236.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1231,TECLADO NUMERICO KNUP,Teclado numérico Knup,"40,00 BRL",in stock,new,Knup,teclado-numerico-knup.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1696,KIT TECLADO E MOUSE 5 FIO OFFICER FORTREK CW11,Kit teclado e mouse CW11,"76,09 BRL",in stock,new,Fortrek,kit-fortrek-cw11.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1085,KIT TECLADO E MOUSE 5 FIO 2.4 GHZ BPC 5271/17,Kit teclado e mouse 2.4GHz BPC 5271/17,"65,00 BRL",in stock,new,BPC,kit-bpc-5271.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1137,TECLADO MAXPRINT TV PLUS 601476,Teclado Maxprint TV Plus 601476,"140,00 BRL",in stock,new,Maxprint,teclado-maxprint-tvplus-601476.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
402389,KIT TECLADO MINI SEM FIO HMASTON JP102,Kit teclado mini sem fio JP102,"105,00 BRL",in stock,new,Hmaston,kit-hmaston-jp102.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1628,TECLADO HMASTON WIRELESS BLUETOOTH ABNT2 JP101,Teclado wireless Bluetooth ABNT2 JP101,"80,00 BRL",in stock,new,Hmaston,teclado-hmaston-jp101.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1143,TECLADO GAMER MEC CYBERTRONIC DAZZ,Teclado gamer mecânico Cybertronic,"260,00 BRL",in stock,new,Dazz,teclado-dazz-cybertronic.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1136,TECLADO INOVA PRIME GAMER USB KEY-9968,Teclado Inova Prime Gamer KEY-9968,"75,00 BRL",in stock,new,Inova,teclado-inova-key9968.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1895,MOUSE LOGITECH USB M90 CINZA,Mouse USB M90 cinza,"45,00 BRL",in stock,new,Logitech,mouse-logitech-m90-cinza.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1576,MOUSE LOGITECH WIRELESS AZUL M170,Mouse wireless M170 azul,"154,00 BRL",in stock,new,Logitech,mouse-logitech-m170-azul-v2.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1576,MOUSE LOGITECH WIRELESS PRETO M170,Mouse wireless M170 preto,"64,65 BRL",in stock,new,Logitech,mouse-logitech-m170-preto-v2.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1840,MOUSE LOGITECH WIRELESS ANYWHERE 3S GRAF,Mouse wireless Anywhere 3S grafite,"600,00 BRL",in stock,new,Logitech,mouse-logitech-anywhere-3s.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
400936,MOUSE MULTILASER SEM FIO PRETO MO307,Mouse Multilaser sem fio MO307 preto,"45,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo307-v2.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1938,MOUSE MULTILASER SEM FIO RECARREGAVEL 2.4 GHZ MO277,Mouse Multilaser recarregável MO277 2.4GHz,"75,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo277-v2.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1938,MOUSE MULTILASER S/FIO BLUETOOTH M5750 MO403,Mouse Multilaser Bluetooth M5750 MO403,"90,00 BRL",in stock,new,Multilaser,mouse-multilaser-mo403-v2.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1562,UBIQUITI AP UNIFI AC U6-PRO 4X4 S/FONTE,Access Point UniFi AC U6-Pro 4x4 sem fonte,"1775,00 BRL",in stock,new,Ubiquiti,ap-ubiquiti-u6pro.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1072,UBIQUITI AP UNIFI UAP-AC-LITE-BR,accessAccess Point UniFi UAP-AC-Lite,"890,00 BRL",in stock,new,Ubiquiti,ap-ubiquiti-uap-ac-lite.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1559,REPETIDOR WIRELES TP LINK DUAL BAND AC750 RE200,Repetidor Dual Band AC750 RE200,"189,00 BRL",in stock,new,TP-Link,repetidor-tplink-re200.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1557,ADAPTADOR USB WIRELESS TX20U PLUS TP-LINK WI-FI 6,Adaptador USB TX20U Plus WiFi 6,"225,00 BRL",in stock,new,TP-Link,adaptador-tplink-tx20u-plus.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1617,MONITOR 21.5 GBT LED HDMI E VGA GBT-M218,Monitor 21.5 GBT-M218 HDMI VGA,"312,00 BRL",in stock,new,GBT,monitor-gbt-215-hdmi-vga-m218.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
1618,MONITOR 23.5 GBT LED HDMI VGA GBT-M218,Monitor 23.5 GBT-M218 HDMI VGA,"410,88 BRL",in stock,new,GBT,monitor-gbt-235-hdmi-vga-m218.webp,https://www.primosinformatica.com.br,Electronics > Computers & Accessories
